# TimeShape 2026b.29: archive entry, IANA zone, polygon bounds (lon/lat)
Africa/Abidjan	Africa/Abidjan	-8.60146713256836	4.162120819091797	-2.492943048477173	10.74019718170166
Africa/Accra	Africa/Accra	-3.2607860565185547	4.539253234863281	1.2732939720153809	11.174856185913086
Africa/Addis_Ababa	Africa/Addis_Ababa	32.99758529663086	3.3974480628967285	47.98237991333008	14.89433765411377
Africa/Algiers	Africa/Algiers	-8.66890811920166	18.96814727783203	11.997342109680176	37.296207427978516
Africa/Asmara	Africa/Asmara	36.43336486816406	12.354822158813477	43.3001708984375	18.07099151611328
Africa/Bamako	Africa/Bamako	-12.240283012390137	10.147810935974121	4.267383098602295	25.001083374023438
Africa/Bangui	Africa/Bangui	14.414846420288086	2.222929000854492	27.466550827026367	11.001388549804688
Africa/Banjul	Africa/Banjul	-17.02237892150879	13.055832862854004	-13.797778129577637	13.825313568115234
Africa/Bissau	Africa/Bissau	-16.89750099182129	10.651421546936035	-13.634878158569336	12.686238288879395
Africa/Blantyre	Africa/Blantyre	34.5722770690918	-12.084831237792969	34.66373062133789	-11.974045753479004
Africa/Blantyre	Africa/Blantyre	34.674827575683594	-12.136499404907227	34.79444122314453	-11.997775077819824
Africa/Blantyre	Africa/Blantyre	32.67185974121094	-17.129602432250977	35.91854476928711	-9.368301391601562
Africa/Brazzaville	Africa/Brazzaville	11.01740837097168	-5.1490888595581055	18.643611907958984	3.7130560874938965
Africa/Bujumbura	Africa/Bujumbura	29.000715255737305	-4.469315052032471	30.84984588623047	-2.3096799850463867
Africa/Cairo	Africa/Cairo	34.6196174621582	26.100679397583008	35.08617401123047	26.51479721069336
Africa/Cairo	Africa/Cairo	24.649911880493164	21.725000381469727	37.115352630615234	31.833084106445312
Africa/Casablanca	Africa/Casablanca	-13.428202629089355	27.627256393432617	-0.998429000377655	35.996543884277344
Africa/Ceuta	Africa/Ceuta	-5.4219489097595215	35.91218948364258	-5.416047096252441	35.916568756103516
Africa/Ceuta	Africa/Ceuta	-4.3191070556640625	35.16945266723633	-4.294733047485352	35.19882583618164
Africa/Ceuta	Africa/Ceuta	-5.400001049041748	35.82576370239258	-5.019143104553223	36.0505256652832
Africa/Ceuta	Africa/Ceuta	-2.9702019691467285	35.265628814697266	-2.605139970779419	35.50188446044922
Africa/Ceuta	Africa/Ceuta	-2.524554967880249	35.15438461303711	-2.3837220668792725	35.186668395996094
Africa/Ceuta	Africa/Ceuta	-3.9051010608673096	35.209468841552734	-3.8458759784698486	35.26533508300781
Africa/Conakry	Africa/Conakry	-15.5680513381958	7.190605163574219	-7.6379218101501465	12.675629615783691
Africa/Dakar	Africa/Dakar	-17.749868392944336	12.240265846252441	-11.34595012664795	16.691970825195312
Africa/Dar_es_Salaam	Africa/Dar_es_Salaam	29.326976776123047	-11.76125431060791	40.65840530395508	-0.9854810237884521
Africa/Djibouti	Africa/Djibouti	41.77131271362305	10.914955139160156	43.65790557861328	12.79230785369873
Africa/Douala	Africa/Douala	8.382218360900879	1.6517950296401978	16.19110107421875	13.083333015441895
Africa/El_Aaiun	Africa/El_Aaiun	-17.31902313232422	20.667251586914062	-8.666389465332031	27.670425415039062
Africa/Freetown	Africa/Freetown	-13.500338554382324	6.755000114440918	-10.271682739257812	9.99997329711914
Africa/Gaborone	Africa/Gaborone	19.99864959716797	-26.907007217407227	29.373886108398438	-17.77813720703125
Africa/Harare	Africa/Harare	25.237300872802734	-22.424110412597656	33.06835174560547	-15.609703063964844
Africa/Johannesburg	Africa/Johannesburg	37.30058288574219	-47.1788330078125	38.289894104003906	-46.410377502441406
Africa/Johannesburg	Africa/Johannesburg	16.333520889282227	-35.03376007080078	33.10235595703125	-22.125030517578125
Africa/Johannesburg	Africa/Johannesburg	-5.5	-86.0	0.0	-68.0
Africa/Juba	Africa/Juba	23.447778701782227	3.4889800548553467	35.948997497558594	12.23638916015625
Africa/Kampala	Africa/Kampala	29.57343292236328	-1.4823180437088013	35.000308990478516	4.234076976776123
Africa/Khartoum	Africa/Khartoum	21.814390182495117	8.685277938842773	39.05762481689453	22.005672454833984
Africa/Kigali	Africa/Kigali	28.861696243286133	-2.83976411819458	30.89907455444336	-1.0474079847335815
Africa/Kinshasa	Africa/Kinshasa	12.039073944091797	-8.130475044250488	24.412389755249023	5.150627136230469
Africa/Lagos	Africa/Lagos	2.6769320964813232	4.069096088409424	14.678013801574707	13.885644912719727
Africa/Libreville	Africa/Libreville	8.500225067138672	-4.110796928405762	14.529020309448242	2.3192899227142334
Africa/Lome	Africa/Lome	-0.14397500455379486	5.926547050476074	1.8087259531021118	11.139510154724121
Africa/Luanda	Africa/Luanda	11.847683906555176	-5.889632225036621	13.11072063446045	-4.345800876617432
Africa/Luanda	Africa/Luanda	11.460979461669922	-18.03938102722168	24.087636947631836	-5.826426029205322
Africa/Lubumbashi	Africa/Lubumbashi	19.67346954345703	-13.45903491973877	31.305675506591797	5.392003059387207
Africa/Lusaka	Africa/Lusaka	21.999055862426758	-18.076213836669922	33.70885467529297	-8.274933815002441
Africa/Malabo	Africa/Malabo	5.417294025421143	-1.6732200384140015	5.85764217376709	-1.2020000219345093
Africa/Malabo	Africa/Malabo	8.214425086975098	3.009999990463257	9.140387535095215	3.989000082015991
Africa/Malabo	Africa/Malabo	9.102169036865234	0.7534469962120056	11.411361694335938	2.396876096725464
